gene,log2FC,FDR,RPKM control root,RPKM  roots treated with BA,description
LOC_Os09g15365,-1.17,9.16E-08,112.666,46.863,"hydrophobic protein, putative "
LOC_Os07g42160,-1.17,6.90E-11,6.897,2.887,"HD domain containing protein, putative "
LOC_Os05g41990,-1.17,6.41E-22,144.340,60.330,"peroxidase precursor, putative "
LOC_Os10g12130,-1.17,6.79E-10,2.870,1.200,retrotransposon protein putative Ty3-gypsy subclass 
LOC_Os08g09800,-1.17,8.22E-11,5.046,2.104,WRKY105 
LOC_Os11g44990,-1.17,5.32E-08,2.714,1.130,NB-ARC domain containing protein 
LOC_Os06g51200,-1.18,7.95E-07,2.731,1.144,"lysine ketoglutarate reductase trans-splicing related 1, putative "
LOC_Os02g54540,-1.18,2.96E-06,10.662,4.424,SCP-like extracellular protein 
LOC_Os01g07450,-1.18,9.20E-10,15.033,6.242,"MYB family transcription factor, putative "
LOC_Os04g31960,-1.18,5.52E-06,2.008,0.830,"thiamine pyrophosphate enzyme, C-terminal TPP binding domain containing protein"
LOC_Os06g02370,-1.18,5.73E-21,90.810,37.777,expressed protein
LOC_Os01g52130,-1.18,2.51E-07,2.505,1.041,"sulfate transporter, putative "
LOC_Os05g50120,-1.18,5.40E-07,2.429,1.012,"CGMC_MAPKCMGC_2.3 - CGMC includes CDA, MAPK, GSK3, and CLKC kinases"
LOC_Os07g08360,-1.18,9.53E-10,8.739,3.627,expressed protein
LOC_Os01g54210,-1.18,2.54E-12,9.245,3.852,GATA zinc finger domain containing protein 
LOC_Os09g26370,-1.18,9.08E-12,53.925,22.577,DUF581 domain containing protein 
LOC_Os02g17970,-1.18,3.87E-14,5.526,2.301,"AGC_PKA/PKG_like.1 - ACG kinases include homologs to PKA, PKG and PKC"
LOC_Os02g48320,-1.18,2.50E-18,32.207,13.310,"DNA binding protein, putative "
LOC_Os09g36910,-1.18,2.42E-06,3.274,1.365,bZIP transcription factor domain containing protein 
LOC_Os01g68589,-1.18,9.98E-21,51.225,21.240,LTPL39 - Protease inhibitor/seed storage/LTP family protein precursor 
LOC_Os06g32590,-1.18,2.08E-05,12.182,5.016,expressed protein
LOC_Os02g58540,-1.19,5.51E-09,8.946,3.689,"RING-H2 finger protein, putative "
LOC_Os08g14830,-1.19,7.16E-06,13.718,5.618,NB-ARC domain containing protein 
LOC_Os04g54830,-1.19,8.64E-23,36.484,15.063,expressed protein
LOC_Os03g20090,-1.19,4.48E-07,5.159,2.152,"MYB family transcription factor, putative "
LOC_Os01g06250,-1.19,6.44E-06,3.586,1.476,"dirigent, putative "
LOC_Os02g27070,-1.19,3.43E-05,1.420,0.587,"PPR repeat domain containing protein, putative "
LOC_Os01g41510,-1.19,2.81E-14,14.698,6.063,"calcineurin B, putative "
LOC_Os01g67360,-1.19,7.37E-17,20.749,8.599,"methyltransferase, putative "
LOC_Os04g40380,-1.19,2.74E-05,6.143,2.551,expressed protein
LOC_Os07g27850,-1.19,6.30E-05,47.738,19.433,"GTPase activating protein, putative "
LOC_Os09g25690,-1.19,6.93E-12,35.908,14.827,"retrotransposon protein, putative unclassified "
LOC_Os09g32988,-1.19,2.69E-05,2.840,1.169,POEI18 - Pollen Ole e I allergen and extensin family protein precursor 
LOC_Os01g08460,-1.20,5.15E-08,10.799,4.455,"TMS membrane protein/tumour differentially  protein, putative "
LOC_Os10g06630,-1.20,1.08E-12,27.954,11.486,"peptidyl-prolyl cis-trans isomerase, putative "
LOC_Os01g10180,-1.20,7.94E-12,26.286,10.677,"avr9/Cf-9 rapidly elicited protein 146, putative "
LOC_Os02g57090,-1.20,1.45E-05,0.964,0.395,"anthranilate phosphoribosyltransferase, putative "
LOC_Os04g40970,-1.21,9.80E-06,1.139,0.467,"DEAD-box ATP-dependent RNA helicase, putative "
LOC_Os10g39440,-1.21,1.01E-25,49.397,20.192,"transporter family protein, putative "
LOC_Os03g27120,-1.21,8.88E-06,10.474,4.326,"ICE-like protease p20 domain containing protein, putative "
LOC_Os06g49760,-1.21,1.54E-10,13.298,5.433,"invertase/pectin methylesterase inhibitor family protein, putative "
LOC_Os03g25330,-1.21,4.85E-11,194.196,78.544,"peroxidase precursor, putative "
LOC_Os12g27102,-1.21,1.26E-05,1.080,0.439,"glycerophosphoryl diester phosphodiesterase family protein, putative "
LOC_Os08g33200,-1.21,1.25E-23,21.425,8.728,"1-phosphatidylinositol-4-phosphate 5-kinase/ zinc ion binding protein, putative "
LOC_Os01g04930,-1.21,1.52E-24,41.433,16.853,"MYB family transcription factor, putative "
LOC_Os12g34890,-1.21,1.07E-10,20.823,8.515,"acyl carrier protein, putative "
LOC_Os05g15170,-1.21,1.92E-11,18.433,7.459,"zinc finger, C3HC4 type domain containing protein"
LOC_Os01g11920,-1.22,5.04E-15,2.439,0.990,"retrotransposon protein, putative unclassified "
LOC_Os12g37400,-1.22,2.01E-17,8.528,3.464,MCM7 - Putative minichromosome maintenance MCM complex subunit 7 
LOC_Os11g05730,-1.22,7.46E-13,24.713,10.051,"histone H3, putative "
LOC_Os10g17260,-1.22,8.69E-14,7.603,3.078,"cytochrome P450, putative "
LOC_Os03g19375,-1.22,3.74E-11,25.405,10.265,expressed protein
LOC_Os09g26760,-1.22,2.46E-06,1.331,0.540,DNA repair metallo-beta-lactamase family protein 
LOC_Os02g48360,-1.22,3.97E-21,60.263,24.447,"pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha, putative "
LOC_Os09g21260,-1.22,1.62E-14,12.275,4.953,cytochrome P450 domain containing protein 
LOC_Os06g09340,-1.22,4.05E-05,2.278,0.927,"pectinesterase, putative "
LOC_Os09g33650,-1.22,2.90E-13,32.319,13.072,expressed protein
LOC_Os07g39530,-1.22,2.71E-11,6.605,2.652,"BTBN16 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with non-phototropic hypocotyl 3 NPH3 domain "
LOC_Os06g04990,-1.22,1.45E-05,3.963,1.607,"early nodulin 93 ENOD93 protein, putative "
LOC_Os05g47700,-1.23,2.81E-16,899.338,363.804,LTPL152 - Protease inhibitor/seed storage/LTP family protein precursor 
LOC_Os09g27910,-1.23,3.76E-07,2.937,1.176,"aspartic proteinase nepenthesin precursor, putative "
LOC_Os01g57150,-1.23,2.51E-05,2.020,0.812,"SR protein related family member, putative "
LOC_Os07g37040,-1.23,9.47E-21,15.547,6.246,PB1 domain containing protein 
LOC_Os12g03130,-1.23,3.58E-06,1.638,0.658,CDC45A - Putative DNA replication initiation protein 
LOC_Os04g40640,-1.23,1.10E-06,6.587,2.649,expressed protein
LOC_Os10g31620,-1.23,1.12E-11,47.240,19.082,"glycine-rich cell wall structural protein 2 precursor, putative "
LOC_Os11g25160,-1.23,5.04E-09,1.431,0.572,"tropinone reductase 2, putative "
LOC_Os02g52360,-1.23,1.17E-10,6.827,2.750,"peptidyl-prolyl cis-trans isomerase CYP40, putative "
LOC_Os05g51470,-1.23,6.36E-16,11.831,4.729,"2-aminoethanethiol dioxygenase, putative "
LOC_Os01g70260,-1.23,2.03E-08,2.102,0.842,"receptor-like protein kinase 2 precursor, putative "
LOC_Os01g65830,-1.23,5.58E-08,3.824,1.519,"acyl-desaturase, chloroplast precursor, putative "
LOC_Os08g36540,-1.23,8.98E-05,1.568,0.621,"aspartic proteinase nepenthesin-1 precursor, putative "
LOC_Os01g54890,-1.24,2.79E-09,10.083,4.031,"ethylene-responsive transcription factor 2, putative "
LOC_Os12g33150,-1.24,1.37E-06,90.716,36.793,expressed protein
LOC_Os04g38690,-1.24,2.72E-06,4.597,1.842,"membrane associated DUF588 domain containing protein, putative "
LOC_Os04g33740,-1.24,1.58E-16,55.849,22.421,"glycosyl hydrolases, putative "
LOC_Os06g45680,-1.24,8.71E-05,5.964,2.405,expressed protein
LOC_Os04g55610,-1.24,1.83E-10,38.104,15.116,expressed protein
LOC_Os03g14840,-1.24,1.74E-11,5.750,2.297,"AGC_PVPK_like_kin82y.8 - ACG kinases include homologs to PKA, PKG and PKC"
LOC_Os01g10600,-1.24,1.24E-05,2.762,1.093,"aquaporin protein, putative "
LOC_Os11g05080,-1.24,4.66E-14,5.889,2.350,"powdery mildew resistant protein 5, putative "
LOC_Os09g20980,-1.24,3.13E-05,1.501,0.597,"RING-H2 finger protein, putative "
LOC_Os04g43990,-1.24,2.35E-05,3.931,1.553,"DUF584 domain containing protein, putative "
LOC_Os06g14750,-1.24,1.27E-25,45.017,17.892,"phosphatidylinositol-4-phosphate 5-Kinase family protein, putative "
LOC_Os05g45480,-1.24,7.10E-13,16.606,6.645,POEI45 - Pollen Ole e I allergen and extensin family protein precursor 
LOC_Os11g34090,-1.24,3.31E-08,3.149,1.257,plant protein of unknown function domain containing protein 
LOC_Os07g33420,-1.25,2.61E-06,3.642,1.436,"hydroxylase, putative "
LOC_Os09g20540,-1.25,1.47E-08,7.074,2.794,expressed protein
LOC_Os01g18970,-1.25,6.70E-09,15.936,6.268,"peroxidase precursor, putative "
LOC_Os03g22410,-1.25,2.23E-05,3.766,1.472,"DUF567 domain containing protein, putative "
LOC_Os05g38740,-1.25,4.27E-08,17.609,7.022,"Core histone H2A/H2B/H3/H4 domain containing protein, putative "
LOC_Os05g24140,-1.25,9.40E-09,15.456,6.141,"tetracycline transporter-like protein 1, putative "
LOC_Os01g46169,-1.25,1.70E-17,11.873,4.711,"GDSL-like lipase/acylhydrolase, putative "
LOC_Os10g31540,-1.25,7.63E-13,132.064,52.437,"glycine-rich cell wall structural protein 2 precursor, putative "
LOC_Os02g01060,-1.26,1.17E-11,16.054,6.366,harpin-induced protein 1 domain containing protein 
LOC_Os01g06500,-1.26,3.38E-13,14.472,5.710,"PHLOEM 2-LIKE A5, putative "
LOC_Os04g51580,-1.26,1.10E-14,44.456,17.411,leucine rich repeat containing protein 
LOC_Os07g41400,-1.26,1.59E-05,7.150,2.813,"EGG APPARATUS-1, putative "
LOC_Os10g25100,-1.26,2.26E-05,3.756,1.469,expressed protein
LOC_Os06g48180,-1.26,2.91E-18,87.829,34.545,"glycosyl hydrolases family 16, putative "
LOC_Os05g47860,-1.26,1.33E-05,3.906,1.527,expressed protein
LOC_Os08g43570,-1.26,1.63E-06,1.054,0.412,"beta-galactosidase precursor, putative "
LOC_Os01g55820,-1.26,2.78E-14,11.844,4.656,X8 domain containing protein 
LOC_Os02g32580,-1.26,5.13E-17,22.139,8.694,expressed protein
LOC_Os01g44970,-1.26,8.65E-09,2.673,1.043,"polygalacturonase, putative "
LOC_Os07g13790,-1.27,1.03E-06,9.999,3.884,hypothetical protein
LOC_Os01g67540,-1.27,2.42E-09,3.561,1.396,AMP-binding domain containing protein 
LOC_Os02g01540,-1.27,9.22E-08,5.978,2.344,"ribosomal protein, putative "
LOC_Os12g39330,-1.27,7.42E-05,2.432,0.944,AP2 domain containing protein 
LOC_Os07g25540,-1.27,4.27E-09,6.299,2.463,"flavin monooxygenase, putative "
LOC_Os03g11540,-1.27,5.83E-25,25.024,9.797,RPA1B - Putative single-stranded DNA binding complex subunit 1 
LOC_Os06g33390,-1.27,2.13E-06,3.225,1.262,"avr9/Cf-9 rapidly elicited protein 194, putative "
LOC_Os06g06460,-1.27,1.87E-16,32.086,12.596,"histone H3, putative "
LOC_Os09g32910,-1.27,3.46E-05,1.780,0.692,OsFBX337 - F-box domain containing protein 
LOC_Os02g11130,-1.27,5.09E-09,4.731,1.841,"cytokinin-O-glucosyltransferase 3, putative "
LOC_Os03g16760,-1.27,7.24E-06,1.675,0.652,"protein phosphatase 2C, putative "
LOC_Os02g12510,-1.27,7.34E-06,2.168,0.840,expressed protein
LOC_Os03g21510,-1.27,6.06E-22,18.482,7.231,"inactive receptor kinase At2g26730 precursor, putative "
LOC_Os02g12730,-1.27,7.17E-20,14.743,5.769,"beta-galactosidase precursor, putative "
LOC_Os03g21400,-1.27,3.86E-07,3.276,1.275,"cytochrome P450, putative "
LOC_Os01g45140,-1.27,1.81E-17,18.753,7.271,"anthocyanin 3-O-beta-glucosyltransferase, putative "
LOC_Os12g42580,-1.27,1.25E-05,4.981,1.918,"transposon protein, putative unclassified "
LOC_Os06g02520,-1.27,3.54E-13,10.307,3.995,"interacting protein of DMI3, putative "
LOC_Os11g14570,-1.28,6.87E-20,9.278,3.609,expressed protein
LOC_Os08g32120,-1.28,2.77E-22,311.377,120.457,expressed protein
LOC_Os01g28840,-1.28,5.52E-08,2.177,0.848,C4-dicarboxylate transporter/malic acid transport protein 
LOC_Os05g02420,-1.28,1.51E-15,441.494,172.337,expressed protein
LOC_Os05g12150,-1.28,9.31E-07,1.534,0.597,"endoglucanase precursor, putative "
LOC_Os08g32160,-1.28,4.83E-26,34.638,13.408,"oxidoreductase, 2OG-FeII oxygenase domain containing protein, putative "
LOC_Os04g08290,-1.28,4.88E-07,1.806,0.691,ZOS4-04 - C2H2 zinc finger protein 
LOC_Os11g38790,-1.28,4.13E-20,130.641,50.665,expressed protein
LOC_Os06g20570,-1.29,1.32E-11,6.095,2.364,"glycosyltransferase, putative "
LOC_Os06g01250,-1.29,5.66E-06,5.271,2.056,"cytochrome P450, putative "
LOC_Os04g49900,-1.29,5.81E-26,17.461,6.745,"ABC transporter family protein, putative "
LOC_Os03g18600,-1.29,5.43E-28,62.596,24.149,"cyclase/dehydrase family protein, putative "
LOC_Os09g27330,-1.29,8.11E-06,6.744,2.609,"oxidoreductase/ transition metal ion binding protein, putative "
LOC_Os05g02110,-1.29,6.15E-07,5.276,2.021,"protein phosphatase 2C, putative "
LOC_Os05g06140,-1.29,1.22E-12,8.678,3.338,"lipase, putative "
LOC_Os01g61550,-1.29,1.88E-05,1.872,0.721,"ammonium transporter protein, putative "
LOC_Os07g05024,-1.29,1.28E-05,2.051,0.799,expressed protein
LOC_Os01g64430,-1.29,8.08E-05,1.688,0.646,DUF623 domain containing protein 
LOC_Os11g07124,-1.29,4.47E-10,2.606,1.009,"EFR, putative "
LOC_Os10g14920,-1.29,1.06E-21,35.360,13.660,integral membrane protein DUF6 containing protein 
LOC_Os03g15530,-1.29,6.05E-10,6.202,2.399,expressed protein
LOC_Os06g49150,-1.29,1.43E-06,2.665,1.025,"exostosin, putative "
LOC_Os03g08170,-1.29,5.59E-16,20.938,8.000,"protein kinase APK1B, chloroplast precursor, putative "
LOC_Os02g43594,-1.29,1.99E-08,4.449,1.703,"MSP domain containing protein, putative "
LOC_Os05g11970,-1.29,3.31E-06,2.113,0.815,"GDSL-like lipase/acylhydrolase, putative "
LOC_Os08g44910,-1.29,1.39E-24,30.777,11.791,"DNA binding protein, putative "
LOC_Os05g38264,-1.30,1.45E-11,17.522,6.649,expressed protein
LOC_Os02g41860,-1.30,2.36E-21,325.923,124.025,"aquaporin protein, putative "
LOC_Os01g42024,-1.30,4.78E-07,6.365,2.439,expressed protein
LOC_Os04g56120,-1.30,7.23E-15,14.745,5.607,protein kinase domain containing protein 
LOC_Os04g09604,-1.30,1.04E-08,4.731,1.804,"O-methyltransferase, putative "
LOC_Os04g52140,-1.30,7.12E-29,39.481,15.059,protein kinase domain containing protein 
LOC_Os10g09000,-1.30,2.23E-05,7.325,2.801,expressed protein
LOC_Os08g01400,-1.31,4.76E-05,2.065,0.796,expressed protein
LOC_Os12g09620,-1.31,1.26E-11,15.015,5.696,expressed protein
LOC_Os05g50730,-1.31,2.08E-10,6.750,2.567,expressed protein
LOC_Os08g01780,-1.31,7.91E-12,3.200,1.219,OsIAA25 - Auxin-responsive Aux/IAA gene family member 
LOC_Os02g44080,-1.31,7.78E-21,319.296,120.965,"aquaporin protein, putative "
LOC_Os01g66890,-1.31,4.29E-12,13.260,5.072,"BTBZ1 - Bric-a-Brac, Tramtrack, and Broad Complex BTB domain with TAZ zinc finger and Calmodulin-binding domains, "
LOC_Os03g55290,-1.31,1.42E-07,9.810,3.734,"GASR3 - Gibberellin-regulated GASA/GAST/Snakin family protein precursor, "
LOC_Os06g06510,-1.31,7.46E-14,37.604,14.382,"histone H3, putative "
LOC_Os01g65130,-1.31,7.02E-10,3.029,1.145,"peptide transporter, putative "
LOC_Os01g58860,-1.31,6.32E-18,12.793,4.878,"auxin efflux carrier component, putative "
LOC_Os10g28700,-1.31,3.12E-06,3.901,1.460,expressed protein
LOC_Os01g73720,-1.31,2.26E-14,20.302,7.754,RCLEA4 - Root cap and Late embryogenesis related family protein precursor 
LOC_Os05g02810,-1.31,4.76E-06,2.625,1.001,"protein binding protein, putative "
LOC_Os12g31160,-1.32,6.13E-11,3.514,1.339,"MLA10, putative "
LOC_Os09g10950,-1.32,1.37E-09,3.938,1.483,expressed protein
LOC_Os07g33650,-1.32,8.15E-16,4.552,1.720,expressed protein
LOC_Os02g12410,-1.32,3.58E-05,9.327,3.530,"U-box domain-containing protein, putative "
LOC_Os06g05410,-1.32,9.42E-06,5.773,2.172,expressed protein
LOC_Os12g01370,-1.32,5.33E-15,18.879,7.166,"fatty acid desaturase, putative "
LOC_Os07g01400,-1.32,2.00E-10,8.923,3.361,"peroxidase precursor, putative "
LOC_Os01g62900,-1.33,6.61E-17,4.913,1.842,"amino acid kinase, putative "
LOC_Os01g53880,-1.33,3.02E-27,13.877,5.208,OsIAA6 - Auxin-responsive Aux/IAA gene family member 
LOC_Os10g31490,-1.33,2.34E-05,2.617,0.978,"retrotransposon protein, putative unclassified "
LOC_Os05g29750,-1.33,3.75E-11,20.095,7.553,"cytochrome P450 71E1, putative "
LOC_Os02g18410,-1.33,4.46E-19,37.820,14.106,"salt stress root protein RS1, putative "
LOC_Os01g57690,-1.33,1.04E-17,19.547,7.341,"early nodulin 20 precursor, putative "
LOC_Os03g49200,-1.33,1.23E-06,1.972,0.745,"WD domain, G-beta repeat domain containing protein, "
LOC_Os10g02040,-1.33,4.57E-26,29.993,11.233,"peroxidase precursor, putative "
LOC_Os04g59000,-1.33,2.85E-28,36.738,13.780,"protein kinase family protein, putative "
LOC_Os06g22870,-1.33,3.69E-26,90.879,34.091,OsIAA21 - Auxin-responsive Aux/IAA gene family member 
LOC_Os03g14010,-1.33,1.38E-10,5.811,2.170,"glycosyl hydrolase family 10 protein, putative "
LOC_Os01g18744,-1.33,4.15E-22,329.869,122.813,"transferase family protein, putative "
LOC_Os04g46740,-1.33,1.16E-05,5.041,1.906,"pectinesterase, putative "
LOC_Os07g28890,-1.33,1.83E-16,37.603,14.122,"ethylene-responsive protein related, putative "
LOC_Os08g19160,-1.33,1.99E-07,1.752,0.652,"transmembrane 9 superfamily member, putative "
LOC_Os03g19370,-1.33,4.05E-15,22.565,8.380,CPuORF4 - conserved peptide uORF-containing transcript 
LOC_Os02g58720,-1.34,1.99E-09,11.182,4.204,"peroxidase precursor, putative "
LOC_Os05g38960,-1.34,1.02E-05,2.387,0.896,expressed protein
LOC_Os01g67410,-1.34,2.14E-14,4.749,1.773,"AP2/EREBP transcription factor BABY BOOM, putative "
LOC_Os02g37100,-1.34,4.25E-08,10.050,3.737,expressed protein
LOC_Os05g42200,-1.34,2.11E-09,6.499,2.423,"cyclin-B1-1, putative "
LOC_Os03g57080,-1.34,5.57E-10,4.583,1.702,"PLA IIIA/PLP7, putative "
LOC_Os08g39270,-1.34,1.87E-18,19.264,7.175,fasciclin domain containing protein 
LOC_Os01g07890,-1.34,1.90E-11,13.624,5.051,expressed protein
LOC_Os01g12440,-1.34,1.41E-12,6.270,2.320,AP2 domain containing protein 
LOC_Os01g36130,-1.34,1.72E-05,7.981,2.973,expressed protein
LOC_Os11g03430,-1.35,2.39E-07,1.812,0.674,CDC45B - Putative DNA replication initiation protein 
LOC_Os07g38370,-1.35,2.45E-16,14.308,5.283,expressed protein
LOC_Os08g01100,-1.35,1.58E-22,34.845,12.942,"HMG1/2, putative "
LOC_Os04g38860,-1.35,1.05E-25,63.658,23.633,expressed protein
LOC_Os12g08920,-1.35,9.36E-07,2.863,1.060,"peroxidase precursor, putative "
LOC_Os05g05690,-1.35,1.67E-08,3.614,1.337,"DTA2, putative "
LOC_Os03g07350,-1.35,1.38E-09,6.007,2.205,CSLA4 - cellulose synthase-like family A; mannan synthase 
LOC_Os06g02530,-1.35,8.40E-15,15.624,5.782,expressed protein
LOC_Os07g33620,-1.35,3.18E-08,2.534,0.928,cytochrome P450 domain containing protein 
LOC_Os11g14000,-1.35,3.82E-06,3.242,1.194,ANTH domain containing protein 
LOC_Os02g57790,-1.35,4.00E-06,3.695,1.357,ZOS2-19 - C2H2 zinc finger protein 
LOC_Os11g20160,-1.35,2.26E-13,53.573,19.641,"O-methyltransferase, putative "
LOC_Os01g08820,-1.35,1.55E-07,2.231,0.825,"PHD-finger domain containing protein, putative "
LOC_Os12g12514,-1.35,6.88E-07,6.417,2.377,"NADP-dependent oxidoreductase, putative "
LOC_Os09g36820,-1.36,1.85E-07,2.809,1.041,MCM10 - Putative minichromosome maintenance MCM protein 10 
LOC_Os03g02660,-1.36,2.05E-05,1.411,0.521,expressed protein
LOC_Os07g05360,-1.36,4.10E-12,21.343,7.861,"photosystem II 10 kDa polypeptide, chloroplast precursor, putative "
LOC_Os05g47780,-1.36,1.32E-26,23.647,8.661,"E3 ubiquitin ligase, putative "
LOC_Os05g16430,-1.36,5.68E-17,5.822,2.141,"SHR5-receptor-like kinase, putative "
LOC_Os06g47600,-1.36,1.80E-12,18.526,6.817,thaumatin family domain containing protein 
LOC_Os02g39384,-1.37,2.26E-05,4.657,1.729,expressed protein
LOC_Os09g22000,-1.37,1.69E-05,49.609,17.796,"hydrolase, HAD superfamily, Cof family, putative "
LOC_Os05g36310,-1.37,5.08E-17,14.091,5.156,zinc finger C3HC4 type domain containing protein 
LOC_Os06g49180,-1.37,9.14E-30,54.631,19.981,"plant-specific domain TIGR01589 family protein, putative "
LOC_Os12g34510,-1.37,3.29E-16,61.327,22.483,"Core histone H2A/H2B/H3/H4 domain containing protein, putative "
LOC_Os04g09590,-1.37,2.13E-05,2.944,1.065,"transferase family protein, putative "
LOC_Os01g57040,-1.37,6.82E-07,9.520,3.456,expressed protein
LOC_Os08g30150,-1.37,2.52E-20,14.697,5.353,"1-aminocyclopropane-1-carboxylate oxidase homolog 1, putative "
LOC_Os03g12790,-1.37,1.32E-12,7.406,2.708,"MATE efflux family protein, putative "
LOC_Os05g41400,-1.37,7.59E-06,1.642,0.595,"indole-3-acetate beta-glucosyltransferase, putative "
LOC_Os01g08220,-1.37,1.15E-10,6.127,2.230,"gibberellin 3-beta-dioxygenase 2-2, putative "
LOC_Os05g40010,-1.38,4.76E-15,17.292,6.301,LTPL17 - Protease inhibitor/seed storage/LTP family protein precursor 
LOC_Os08g01710,-1.38,2.81E-17,96.124,34.712,"GLTP domain containing protein, putative "
LOC_Os04g31484,-1.38,6.59E-08,13.107,4.757,RALFL20 - Rapid ALkalinization Factor RALF family protein precursor 
LOC_Os01g37470,-1.38,1.40E-15,6.648,2.402,"asp/Glu racemase, putative "
LOC_Os12g16290,-1.38,2.46E-17,5.463,1.983,"isoflavone reductase, putative "
LOC_Os02g08220,-1.38,4.64E-13,9.837,3.541,expressed protein
LOC_Os04g52700,-1.38,8.00E-12,11.695,4.220,expressed protein
LOC_Os02g36600,-1.38,8.39E-05,0.999,0.360,"aldose 1-epimerase, putative "
LOC_Os03g01700,-1.38,1.38E-23,1011.271,363.551,expressed protein
LOC_Os02g50140,-1.38,9.32E-16,18.016,6.527,"caleosin related protein, putative "
LOC_Os01g69200,-1.38,8.93E-16,17.030,6.109,"regulatory protein, putative "
LOC_Os02g04220,-1.38,1.18E-07,10.472,3.779,expressed protein
LOC_Os01g07770,-1.39,5.94E-20,24.404,8.827,"peroxidase precursor, putative "
LOC_Os03g27190,-1.39,9.00E-05,2.461,0.891,"ICE-like protease p20 domain containing protein, putative "
LOC_Os04g39230,-1.39,6.77E-09,6.630,2.394,expressed protein
LOC_Os03g55260,-1.39,2.00E-12,4.451,1.604,"cytochrome P450, putative "
LOC_Os02g53160,-1.39,5.37E-14,15.805,5.699,"tyrosine phosphatase family protein, putative "
LOC_Os09g11480,-1.39,2.37E-22,21.941,7.880,AP2 domain containing protein 
LOC_Os06g50400,-1.39,5.13E-05,2.234,0.804,"expansin precursor, putative "
LOC_Os01g04750,-1.39,7.32E-05,1.024,0.364,B3 DNA binding domain containing protein 
LOC_Os01g56030,-1.39,5.65E-24,155.127,55.868,"EF hand family protein, putative "
LOC_Os08g28240,-1.39,4.15E-11,4.878,1.748,"carotenoid cleavage dioxygenase, putative "
LOC_Os10g39320,-1.39,9.51E-09,5.220,1.858,"aspartic proteinase nepenthesin precursor, putative "
LOC_Os02g15340,-1.39,2.58E-07,2.281,0.815,"no apical meristem protein, putative "
LOC_Os01g03720,-1.39,4.10E-08,2.686,0.970,"MYB family transcription factor, putative "
LOC_Os05g06660,-1.39,2.43E-20,9.357,3.346,OsSCP26 - Putative Serine Carboxypeptidase homologue 
LOC_Os06g05990,-1.40,1.42E-10,53.296,18.884,"zinc finger family protein, putative "
LOC_Os10g38880,-1.40,6.09E-15,14.228,5.071,DUF623 domain containing protein 
LOC_Os08g28600,-1.40,1.38E-11,2.969,1.063,"resistance protein, putative "
LOC_Os10g02284,-1.40,1.73E-05,2.339,0.831,OsWAK97 - OsWAK receptor-like protein kinase 
LOC_Os01g63930,-1.40,4.17E-15,3.693,1.315,"cytochrome P450, putative "
LOC_Os08g07950,-1.40,1.43E-10,1.435,0.513,NB-ARC domain containing protein 
LOC_Os04g46820,-1.40,3.74E-05,16.216,5.677,"LTPL121 - Protease inhibitor/seed storage/LTP family protein precursor, putative "
LOC_Os10g20120,-1.40,2.49E-06,1.653,0.582,"serine/threonine-protein kinase receptor precursor, putative "
LOC_Os03g06010,-1.40,1.27E-08,7.228,2.562,"expansin precursor, putative "
LOC_Os05g07280,-1.41,9.79E-26,31.962,11.299,expressed protein
LOC_Os11g42950,-1.41,2.08E-06,4.334,1.520,expressed protein
LOC_Os01g74450,-1.41,3.23E-22,247.496,87.479,"aquaporin protein, putative "
LOC_Os01g53980,-1.41,2.71E-22,22.682,8.002,IQ calmodulin-binding motif family protein 
LOC_Os10g22050,-1.41,6.12E-29,591.076,209.735,expressed protein
LOC_Os02g36440,-1.41,1.42E-07,6.112,2.144,"transporter family protein, putative "
LOC_Os11g31190,-1.42,7.42E-21,13.986,4.949,"nodulin MtN3 family protein, putative "
LOC_Os10g12500,-1.42,1.86E-21,52.097,18.424,integral membrane protein DUF6 containing protein 
LOC_Os12g03790,-1.42,4.48E-05,0.662,0.231,"rhamnogalacturonate lyase, putative "
LOC_Os07g28590,-1.42,1.89E-05,1.944,0.687,transposon protein putative CACTA En/Spm sub-class 
LOC_Os04g44130,-1.42,1.61E-11,39.585,14.031,DEF12 - Defensin and Defensin-like DEFL family 
LOC_Os05g11620,-1.42,1.68E-05,5.196,1.819,expressed protein
LOC_Os09g32944,-1.42,4.14E-08,2.461,0.866,OsSPL18 - SBP-box gene family member 
LOC_Os04g41750,-1.42,1.71E-05,1.412,0.497,expressed protein
LOC_Os06g04080,-1.42,1.43E-10,5.758,2.027,"glycosyl hydrolases family 17, putative "
LOC_Os12g43110,-1.42,1.41E-06,5.852,2.056,OsSAUR58 - Auxin-responsive SAUR gene family member 
LOC_Os09g31080,-1.43,1.08E-33,1199.096,420.136,"induced stolen tip protein TUB8, putative "
LOC_Os03g10980,-1.43,2.80E-05,0.923,0.328,expressed protein
LOC_Os04g53860,-1.43,3.86E-18,10.686,3.742,"reductase, putative "
LOC_Os01g14540,-1.43,3.98E-11,7.201,2.529,STIGL1 - Stigma-specific Stig1 family protein precursor 
LOC_Os11g15040,-1.43,3.01E-21,14.688,5.144,"S-adenosyl-L-methionine:benzoic acid/salicylic acid carboxyl methyltransferase, putative "
LOC_Os01g04210,-1.43,4.96E-05,1.117,0.393,"DNA binding protein, putative "
